"folder";"sizeOriginal";"sizeDaff";"evolution";"patch";"quality"
6305;616841;239143;993;146;456
6308;883104;504973;1018;423;450
6309;702461;231414;868;203;363
6316;460353;142214;791;63;364
6321;357271;178165;937;152;511
6326;553347;261524;1031;204;467
6329;1361121;120678;1028;3907;1019
6335;154142;54996;252;31;92
6337;260667;119692;647;57;311
6343;1894907;240189;1171;14584;884
6345;4894409;1450134;22875;10003;9208
6347;905706;662554;2519;4099;348
6348;345449;63057;144;542;106
6353;713372;289218;986;220;498
6356;252493;61640;113;277;72
6358;543422;168692;672;66;255
6360;27431;5646;15;15;15
6362;139905;35628;65;127;40
6365;226824;78698;233;40;128
6367;1558609;750455;3944;819;1491
6370;365612;162272;502;125;247
6372;556027;301215;1021;197;470
6374;2396493;1939003;18169;24110;2112
6377;371992;145238;625;100;305
6378;122528;47514;76;153;60
6381;1469148;379322;1373;411;617
6382;359317;65851;283;125;272
6391;1722056;348944;3220;29280;2282
6393;469267;148191;465;93;254
6400;638799;67753;653;226;350
6402;241853;104656;843;131;476
6403;14481;9525;20;17;13
6406;333974;162875;1106;161;512
6407;469640;130746;778;219;388
6408;610003;275357;531;169;246
6409;1710952;367164;3496;27841;1737
6410;4786980;896438;19067;125515;5786
6416;274078;98696;785;117;366
6417;8377;1646;12;10;12
6423;227109;102154;620;55;305
6427;200271;55752;475;44;247
6428;474515;217194;1130;184;494
6429;334387;133644;815;66;437
6434;435500;185363;1002;161;460
6436;1394895;423297;1356;315;613
6443;166305;63882;443;41;207
6447;250754;56001;139;344;87
6450;224007;85605;538;85;317
6454;262365;110961;835;119;400
6459;730340;272407;1365;216;570
6460;286206;75407;169;383;126
6462;453637;92054;1422;63;613
6464;776083;407113;1646;221;791
6466;590689;292279;1181;244;406
6467;450869;111274;1308;141;627
6468;1419515;789839;2485;903;726
6471;379408;127121;656;104;353
6473;964962;170829;1049;4968;372
6474;3710176;1352130;4376;7338;1894
6478;160277;82694;322;102;198
6481;475436;107858;332;1447;295
6487;348316;122844;834;74;368
6490;854784;182415;960;5217;355
6495;107174;18614;49;68;46
6505;157634;50019;357;28;172
6507;724163;370818;1586;164;602
6509;229413;117869;288;72;140
6519;791067;319563;1440;525;609
6521;556679;255495;1008;127;566
6526;934555;494845;1692;248;923
6527;267424;124338;595;127;324
6528;4189;6173;20;13;7
6531;500242;184032;1234;258;504
6532;220714;77905;585;40;318
6534;259836;106810;879;65;357
6538;364237;202740;404;748;149
6545;576727;153574;681;105;354
6550;274159;76211;680;40;379
6552;876605;1335413;3961;1563;292
6554;315865;84951;897;66;487
6557;798716;128062;623;129;324
6560;296606;108096;538;98;288
6568;317781;162598;548;135;275
6570;592219;209195;1013;180;447
6572;416683;111912;1144;102;594
6574;404897;221480;679;203;352
6576;1513399;372076;2356;11750;526
6578;374283;88655;178;746;117
6580;727300;147725;407;2557;226
6592;46002;15348;75;10;70
6593;438167;135026;914;117;482
6601;65010;17638;37;36;24
6605;587626;284476;901;127;370
6608;163705;57338;210;24;94
6609;485495;296413;733;199;366
6612;267917;123117;517;160;314
6613;373971;128585;927;105;467
6614;144581;35931;336;20;180
6616;246584;114757;472;146;294
6618;561038;80923;177;914;126
6620;1568953;322501;2758;21907;1532
6629;683643;238879;828;177;389
6633;556589;188326;608;135;317
6635;369452;93002;1130;108;548
6639;1243966;349661;1914;607;932
6643;155027;17737;64;291;61
6647;425499;221754;792;169;429
6648;459358;218949;740;144;339
6650;431358;157807;1210;104;578
6652;340976;138974;467;90;232
6655;1789939;611783;1816;347;739
6658;92463;16112;66;18;23
6662;2565262;152801;4587;1004;2296
6663;472862;131615;820;114;384
6668;1934068;229930;1481;320;735
6671;517606;216809;808;156;473
6672;155027;17737;68;279;63
6676;104954;15609;66;99;60
6678;89105;24709;38;55;35
6679;375684;68519;119;274;90
6681;488389;182001;861;112;405
6682;516147;194062;701;186;328
6684;728706;222941;1104;405;593
6690;492121;177431;873;151;420
6691;6755;2890;9;6;6
6695;26095;33260;25;25;15
6697;26291;4590;15;16;13
6701;111468;65519;98;33;69
6702;444581;147515;738;127;410
6703;320223;121497;675;54;312
6704;2110;6551;9;7;7
6708;204101;72392;195;52;133
6714;421872;147145;740;96;358
6717;387678;94661;710;112;384
